id,type,trait_count,trait1,trait2,trait3,trait4,trait5,trait6,trait7,trait8,trait9,trait10,trait11,trait12,Rarity,TimesSold,LastPrice,TimeInDays
3078,Ape,2,Belt,Anchor,,,,,,,,,,,3914,,,
3079,Arcane,4,Special Background,Chestplate,Belt,Covered Helmet,,,,,,,,,6375,,,
3080,Robot,2,Belt,Harpoon,,,,,,,,,,,4272,7.0,4799.0,119.0
3081,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,,,
3082,Arcane,3,Chestplate,Backpack,Sun Glasses,,,,,,,,,,3138,2.0,11000.0,95.0
3083,Frog,3,Chestplate,Backpack,Covered Helmet,,,,,,,,,,4364,,,
3084,Lion,4,Chestplate,Belt,Ski Goggles,Hockey Stick,,,,,,,,,2206,,,
3085,Robot,4,Belt,Jetpack,Covered Helmet,Hockey Stick,,,,,,,,,2853,2.0,4700.0,236.0
3086,Robot,4,Chestplate,Belt,Covered Helmet,Bazooka,,,,,,,,,4641,1.0,6250.0,211.0
3087,Alien,5,Star Suit,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,,2358,,,
3088,Bear,4,Star Suit,Chestplate,Belt,Backpack,,,,,,,,,5373,,,
3089,Bear,4,Chestplate,Belt,Covered Helmet,Sword,,,,,,,,,6275,,,
3090,Arcane,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,6780,,,
3091,Shark,5,Camo Suit,Chestplate,Belt,Covered Helmet,Binoculars,,,,,,,,604,,,
3092,Cat,4,Camo Suit,Chestplate,Belt,Arc,,,,,,,,,4253,,,
3093,Lion,5,Star Suit,Chestplate,Belt,Umbrella,Ski Goggles,,,,,,,,2061,,,
3094,Robot,3,Chestplate,Belt,Wool Boots,,,,,,,,,,8645,4.0,6000.0,52.0
3095,Lion,4,Chestplate,Belt,X-Ray,Flowers,,,,,,,,,2645,,,
3096,Parrot,2,Belt,Cardano,,,,,,,,,,,3776,1.0,8995.0,239.0
3097,Arcane,4,Star Suit,Chestplate,Belt,VR,,,,,,,,,5388,,,
3098,Robot,4,Chestplate,Belt,Covered Helmet,Sun Glasses,,,,,,,,,6969,,,
3099,Robot,2,Belt,Eye Patch,,,,,,,,,,,5919,,,
3100,Bear,2,Chestplate,Belt,,,,,,,,,,,8152,1.0,5000.0,215.0
3101,Cat,2,Belt,Covered Helmet,,,,,,,,,,,9014,4.0,3799.0,132.0
3102,Bear,3,Chestplate,Belt,Flowers,,,,,,,,,,5456,,,
3103,Cat,3,Belt,Covered Helmet,Wool Boots,,,,,,,,,,9053,,,
3104,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,1.0,4200.0,258.0
3105,Robot,2,Special Background,Chestplate,,,,,,,,,,,7023,,,
3106,Lion,5,Camo Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,,3939,,,
3107,Shark,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,1982,1.0,13999.0,242.0
3108,Ape,3,Camo Suit,Belt,Watch,,,,,,,,,,8540,,,
3109,Dog,4,Chestplate,Belt,Ski Goggles,Revolver,,,,,,,,,4768,,,
3110,Ape,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,8662,,,
3111,Dog,4,Star Suit,Belt,Wool Boots,Sword,,,,,,,,,5510,,,
3112,Dog,3,Chestplate,Amulet,Belt,,,,,,,,,,8630,,,
3113,Robot,4,Chestplate,Belt,Covered Helmet,Flag,,,,,,,,,6197,,,
3114,Dog,2,Belt,VR,,,,,,,,,,,6869,,,
3115,Dog,2,Belt,Sword,,,,,,,,,,,6202,,,
3116,Ape,2,Chestplate,Covered Helmet,,,,,,,,,,,8773,,,
3117,Tiger,2,Belt,Amulet,,,,,,,,,,,6537,4.0,7777.0,95.0
3118,Cat,7,Special Background,Chestplate,Belt,Jetpack,Covered Helmet,Flag,Wool Boots,,,,,,203,,,
3119,Alien,3,Chestplate,Covered Helmet,Eye Patch,,,,,,,,,,7618,,,
3120,Frog,2,Star Suit,Belt,,,,,,,,,,,5715,,,
3121,Cat,3,Chestplate,Belt,Binoculars,,,,,,,,,,3139,,,
3122,Dog,4,Chestplate,Covered Helmet,Ski Goggles,Flag,,,,,,,,,4326,1.0,3600.0,259.0
3123,Rhino,5,Camo Suit,Chestplate,Belt,Revolver,Wine,,,,,,,,333,1.0,24222.0,257.0
3124,Ape,5,Chestplate,Belt,Covered Helmet,Watch,Anchor,,,,,,,,3164,,,
3125,Parrot,2,Chestplate,Belt,,,,,,,,,,,6492,1.0,2100.0,261.0
3126,Cat,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9506,,,
3127,Frog,5,Chestplate,Amulet,Belt,Backpack,Covered Helmet,,,,,,,,2544,,,
3128,Parrot,2,Chestplate,Belt,,,,,,,,,,,6492,,,
3129,Robot,5,Camo Suit,Chestplate,Belt,Covered Helmet,Arc,,,,,,,,3235,,,
3130,Arcane,2,Chestplate,Belt,,,,,,,,,,,7025,,,
3131,Robot,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,8446,,,
3132,Cat,2,Covered Helmet,Sun Glasses,,,,,,,,,,,6049,,,
3133,Ape,3,Star Suit,Chestplate,Belt,,,,,,,,,,9593,1.0,3200.0,227.0
3134,Parrot,4,Chestplate,Belt,Covered Helmet,Revolver,,,,,,,,,4902,,,
3135,Bear,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9239,,,
3136,Frog,3,Belt,Backpack,Covered Helmet,,,,,,,,,,4397,,,
3137,Bear,4,Chestplate,Belt,Snorkel,Binoculars,,,,,,,,,1442,,,
3138,Tiger,5,Camo Suit,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,6310,,,
3139,Tiger,2,Chestplate,Covered Helmet,,,,,,,,,,,8222,,,
3140,Parrot,2,Belt,Hockey Stick,,,,,,,,,,,3009,,,
3141,Tiger,5,Chestplate,Belt,Covered Helmet,Watch,Flowers,,,,,,,,3732,,,
3142,Dog,5,Belt,Backpack,Umbrella,Covered Helmet,Sun Glasses,,,,,,,,1774,,,
3143,Ape,6,Special Background,Chestplate,Belt,Covered Helmet,Sun Glasses,Amulet,,,,,,,1588,2.0,7700.0,247.0
3144,Lion,1,Belt,,,,,,,,,,,,1692,3.0,9800.0,81.0
3145,Dog,5,Star Suit,Chestplate,Belt,X-Ray,Axe,,,,,,,,2788,,,
3146,Frog,2,Belt,Axe,,,,,,,,,,,3124,,,
3147,Bear,4,Chestplate,Belt,Snorkel,Hockey Stick,,,,,,,,,2937,,,
3148,Cat,4,Chestplate,Belt,Sword,Candle,,,,,,,,,1919,1.0,7800.0,155.0
3149,Alien,6,Star Suit,Chestplate,Amulet,Belt,Covered Helmet,Blaster,,,,,,,950,,,
3150,Arcane,5,Star Suit,Chestplate,Belt,Snorkel,Blaster,,,,,,,,1143,1.0,2562.0,264.0
3151,Cat,5,Chestplate,Belt,Backpack,Covered Helmet,Pistol,,,,,,,,3184,,,
3152,Bear,3,Chestplate,Belt,Jetpack,,,,,,,,,,6007,,,
3153,Frog,5,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,4451,,,
3154,Arcane,5,Star Suit,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,5185,1.0,4500.0,180.0
3155,Dog,5,Star Suit,Chestplate,Belt,Covered Helmet,Wine,,,,,,,,3337,,,
3156,Parrot,6,Star Suit,Chestplate,Belt,Covered Helmet,Lamp Fish,Axe,,,,,,,601,,,
3157,Tiger,3,Star Suit,Belt,Jo-Jo,,,,,,,,,,3595,,,
3158,Alien,3,Chestplate,Covered Helmet,Watch,,,,,,,,,,8882,,,
3159,Cat,9,Star Suit,Chestplate,Belt,Jetpack,Covered Helmet,Snorkel,Watch,Wool Boots,Flowers,,,,3,,,
3160,Lion,4,Camo Suit,Chestplate,Belt,Sword,,,,,,,,,4750,,,
3161,Lion,3,Chestplate,Belt,Eye Patch,,,,,,,,,,5360,,,
3162,Elephant,4,Camo Suit,Chestplate,Belt,Eye Patch,,,,,,,,,231,,,
3163,Bear,4,Chestplate,Belt,Revolver,Blaster,,,,,,,,,1738,,,
3164,Tiger,3,Chestplate,Covered Helmet,VR,,,,,,,,,,7303,,,
3165,Cat,4,Chestplate,Belt,Covered Helmet,Binoculars,,,,,,,,,3019,,,
3166,Bear,4,Camo Suit,Chestplate,Belt,Anchor,,,,,,,,,3784,,,
3167,Cat,4,Chestplate,Amulet,Belt,Wool Boots,,,,,,,,,7292,,,
3168,Frog,5,Chestplate,Belt,Umbrella,Covered Helmet,VR,,,,,,,,2322,1.0,8500.0,209.0
3169,Cat,5,Special Background,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,,1979,,,
3170,Parrot,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,6218,,,
3171,Frog,3,Covered Helmet,Revolver,Wine,,,,,,,,,,1532,,,
3172,Ape,3,Chestplate,Watch,Lamp Fish,,,,,,,,,,2892,,,
3173,Frog,4,Chestplate,Belt,Covered Helmet,Flag,,,,,,,,,4410,1.0,3299.0,260.0
3174,Ape,3,Chestplate,Belt,Pistol,,,,,,,,,,6894,,,
3175,Dog,4,Belt,Backpack,Snorkel,Bazooka,,,,,,,,,1611,,,
3176,Arcane,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,8329,1.0,6500.0,6.0
3177,Ape,4,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,,3232,,,
3178,Ape,4,Chestplate,Belt,Covered Helmet,Amulet,,,,,,,,,8412,4.0,3250.0,150.0
3179,Alien,2,Wool Boots,Wine,,,,,,,,,,,2837,,,
3180,Tiger,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8683,2.0,3800.0,233.0
3181,Shark,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,1982,1.0,18000.0,212.0
3182,Cat,5,Chestplate,Belt,Covered Helmet,Ski Goggles,Candle,,,,,,,,1552,,,
3183,Alien,6,Chestplate,Belt,Jetpack,Covered Helmet,Watch,Baguette,,,,,,,670,,,
3184,Fish,3,Star Suit,Chestplate,Belt,,,,,,,,,,437,,,
3185,Robot,4,Star Suit,Belt,Covered Helmet,Sun Glasses,,,,,,,,,6295,,,
3186,Cat,4,Chestplate,Belt,Jetpack,Covered Helmet,,,,,,,,,6694,,,
3187,Cat,2,Chestplate,Belt,,,,,,,,,,,9119,,,
3188,Cat,6,Star Suit,Chestplate,Belt,Covered Helmet,Cardano,Axe,,,,,,,1085,,,
3189,Bear,1,Belt,,,,,,,,,,,,2176,,,
3190,Alien,7,Camo Suit,Chestplate,Belt,Covered Helmet,VR,Watch,Harpoon,,,,,,220,2.0,13000.0,38.0
3191,Alien,4,Star Suit,Chestplate,Belt,Jo-Jo,,,,,,,,,3883,,,
3192,Frog,5,Special Background,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,4449,1.0,9995.0,207.0
3193,Cat,2,Special Background,Belt,,,,,,,,,,,7577,,,
3194,Parrot,4,Chestplate,Backpack,Covered Helmet,Bazooka,,,,,,,,,1688,2.0,8000.0,184.0
3195,Dog,5,Star Suit,Belt,Covered Helmet,Snorkel,Amulet,,,,,,,,4340,3.0,7899.0,95.0
3196,Tiger,5,Camo Suit,Chestplate,Belt,Backpack,X-Ray,,,,,,,,2888,1.0,6050.0,116.0
3197,Bear,4,Chestplate,Belt,Covered Helmet,Binoculars,,,,,,,,,2417,,,
3198,Bear,3,Belt,Covered Helmet,Harpoon,,,,,,,,,,4786,,,
3199,Robot,5,Star Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,,5397,2.0,5449.0,115.0
3200,Cat,4,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,,,7706,1.0,3100.0,228.0
3201,Lion,3,Amulet,Belt,Covered Helmet,,,,,,,,,,5972,1.0,5000.0,249.0
3202,Lion,3,Belt,X-Ray,Wool Boots,,,,,,,,,,4179,,,
3203,Ape,3,Chestplate,Amulet,Belt,,,,,,,,,,8462,1.0,700.0,279.0
3204,Arcane,1,Belt,,,,,,,,,,,,1814,,,
3205,Robot,4,Chestplate,Belt,Covered Helmet,Flag,,,,,,,,,6197,,,
3206,Robot,4,Special Background,Belt,Covered Helmet,Bazooka,,,,,,,,,3578,,,
3207,Parrot,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7428,,,
3208,Dog,1,Chestplate,,,,,,,,,,,,2696,4.0,5555.0,117.0
3209,Bear,3,Camo Suit,Chestplate,Belt,,,,,,,,,,8749,,,
3210,Arcane,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,8329,,,
3211,Tiger,3,Chestplate,Belt,Wool Boots,,,,,,,,,,8324,,,
3212,Arcane,1,,,,,,,,,,,,,38,1.0,30000.0,127.0
3213,Dog,5,Chestplate,Belt,Covered Helmet,Eye Patch,Pistol,,,,,,,,3632,,,
3214,Elephant,2,Belt,Wine,,,,,,,,,,,143,,,
3215,Ape,7,Camo Suit,Chestplate,Belt,Covered Helmet,Snorkel,Baguette,Hockey Stick,,,,,,97,,,
3216,Frog,3,Star Suit,Chestplate,Belt,,,,,,,,,,7231,,,
3217,Dog,4,Star Suit,Belt,Covered Helmet,Snorkel,,,,,,,,,7060,,,
3218,Bear,5,Star Suit,Chestplate,Belt,Eye Patch,Binoculars,,,,,,,,1112,,,
3219,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
3220,Tiger,1,Chestplate,,,,,,,,,,,,2261,,,
3221,Ape,3,Chestplate,Belt,Jetpack,,,,,,,,,,7092,,,
3222,Robot,2,Belt,Covered Helmet,,,,,,,,,,,8509,2.0,5300.0,244.0
3223,Alien,6,Camo Suit,Amulet,Belt,Umbrella,Watch,Lamp Fish,,,,,,,610,1.0,800.0,273.0
3224,Bear,3,Star Suit,Belt,Covered Helmet,,,,,,,,,,8670,2.0,4100.0,166.0
3225,Arcane,4,Star Suit,Chestplate,Belt,Backpack,,,,,,,,,4620,,,
3226,Cat,3,Chestplate,Belt,VR,,,,,,,,,,8264,,,
3227,Tiger,2,Belt,Ski Goggles,,,,,,,,,,,5551,,,
3228,Cat,4,Special Background,Covered Helmet,Ski Goggles,Harpoon,,,,,,,,,2610,,,
3229,Frog,2,Belt,Covered Helmet,,,,,,,,,,,6145,,,
3230,Bear,4,Chestplate,Belt,Covered Helmet,Sun Glasses,,,,,,,,,6223,,,
3231,Ape,6,Star Suit,Chestplate,Belt,Watch,Wool Boots,Arc,,,,,,,1025,,,
3232,Ape,2,Chestplate,Covered Helmet,,,,,,,,,,,8773,,,
3233,Cat,3,Chestplate,Belt,Pistol,,,,,,,,,,7110,,,
3234,Arcane,3,Chestplate,Jetpack,Covered Helmet,,,,,,,,,,4924,,,
3235,Parrot,2,Chestplate,Belt,,,,,,,,,,,6492,,,
3236,Cat,5,Camo Suit,Chestplate,Belt,Covered Helmet,Sword,,,,,,,,5615,1.0,6345.0,9.0
3237,Cat,3,Chestplate,Belt,Jo-Jo,,,,,,,,,,4529,1.0,5000.0,196.0
3238,Dog,5,Camo Suit,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,5056,5.0,5000.0,3.0
3239,Alien,2,Belt,Jetpack,,,,,,,,,,,5567,,,
3240,Cat,3,Chestplate,Belt,Umbrella,,,,,,,,,,7086,,,
3241,Robot,3,Star Suit,Chestplate,Belt,,,,,,,,,,9299,,,
3242,Dog,3,Chestplate,Belt,Anchor,,,,,,,,,,4993,,,
3243,Alien,3,Chestplate,Belt,Revolver,,,,,,,,,,7365,,,
3244,Tiger,3,Camo Suit,Belt,Covered Helmet,,,,,,,,,,8864,,,
3245,Cat,3,Chestplate,Belt,Flowers,,,,,,,,,,6442,1.0,3700.0,165.0
3246,Cat,4,Chestplate,Belt,Covered Helmet,Anchor,,,,,,,,,4827,3.0,3300.0,219.0
3247,Lion,3,Chestplate,Belt,Eye Patch,,,,,,,,,,5360,1.0,750.0,264.0
3248,Frog,3,Belt,Covered Helmet,Watch,,,,,,,,,,6330,,,
3249,Tiger,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8683,,,
3250,Dog,4,Star Suit,Chestplate,Belt,Wool Boots,,,,,,,,,8440,2.0,3525.0,232.0
3251,Tiger,4,Camo Suit,Chestplate,Belt,Snorkel,,,,,,,,,6068,,,
3252,Lion,4,Chestplate,Covered Helmet,Watch,Sword,,,,,,,,,4098,,,
3253,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,2.0,3700.0,156.0
3254,Ape,5,Camo Suit,Chestplate,Belt,Flag,Wool Boots,,,,,,,,3970,,,
3255,Alien,2,Chestplate,Covered Helmet,,,,,,,,,,,8700,1.0,5950.0,23.0
3256,Dog,2,Chestplate,Baguette,,,,,,,,,,,2811,,,
3257,Robot,4,Camo Suit,Chestplate,Belt,Revolver,,,,,,,,,6177,,,
3258,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
3259,Alien,7,Camo Suit,Chestplate,Belt,Umbrella,Covered Helmet,Ski Goggles,Jo-Jo,,,,,,137,,,
3260,Cat,3,Chestplate,Belt,Arc,,,,,,,,,,4801,,,
3261,Rhino,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,568,,,
3262,Frog,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7214,,,
3263,Robot,3,Chestplate,Belt,Watch,,,,,,,,,,8714,,,
3264,Ape,4,Chestplate,Covered Helmet,Sun Glasses,Arc,,,,,,,,,2723,,,
3265,Robot,3,Star Suit,Belt,VR,,,,,,,,,,7293,,,
3266,Arcane,6,Star Suit,Chestplate,Amulet,Belt,Covered Helmet,Binoculars,,,,,,,666,,,
3267,Tiger,5,Camo Suit,Chestplate,Belt,Jetpack,Wine,,,,,,,,1478,,,
3268,Lion,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,8024,1.0,5899.0,10.0
3269,Parrot,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,7162,,,
3270,Bear,5,Camo Suit,Belt,Covered Helmet,X-Ray,Lamp Fish,,,,,,,,1252,,,
3271,Dog,5,Camo Suit,Belt,Covered Helmet,Snorkel,Flag,,,,,,,,3279,3.0,4800.0,186.0
3272,Cat,3,Camo Suit,Belt,Covered Helmet,,,,,,,,,,9633,2.0,4069.0,173.0
3273,Dog,6,Chestplate,Belt,Covered Helmet,X-Ray,Wool Boots,Wine,,,,,,,864,,,
3274,Shark,3,Chestplate,Covered Helmet,Sword,,,,,,,,,,1223,,,
3275,Bear,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,7105,,,
3276,Tiger,1,Covered Helmet,,,,,,,,,,,,2226,,,
3277,Parrot,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7428,1.0,1950.0,262.0
3278,Fish,2,Chestplate,Belt,,,,,,,,,,,412,,,
3279,Cat,4,Star Suit,Belt,Snorkel,Cardano,,,,,,,,,3948,1.0,4105.995,217.0
3280,Robot,3,Belt,Covered Helmet,Watch,,,,,,,,,,8656,,,
3281,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,1.0,777.0,274.0
3282,Cat,2,Star Suit,Belt,,,,,,,,,,,8503,,,
3283,Ape,4,Camo Suit,Chestplate,Belt,Flag,,,,,,,,,6047,3.0,5995.0,42.0
3284,Parrot,3,Star Suit,Belt,Covered Helmet,,,,,,,,,,7357,,,
3285,Bear,4,Chestplate,Belt,Sun Glasses,Pistol,,,,,,,,,3640,,,
3286,Parrot,3,Star Suit,Belt,Covered Helmet,,,,,,,,,,7357,,,
3287,Robot,3,Camo Suit,Belt,Wool Boots,,,,,,,,,,8235,1.0,3500.0,172.0
3288,Bear,5,Chestplate,Belt,Covered Helmet,Eye Patch,Watch,,,,,,,,4353,3.0,6900.0,9.0
3289,Cat,3,Star Suit,Chestplate,Belt,,,,,,,,,,9697,3.0,4500.0,121.0
3290,Parrot,5,Special Background,Chestplate,Belt,Covered Helmet,Flag,,,,,,,,2891,3.0,7052.0,193.0
3291,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,3.0,6550.0,52.0
3292,Wolf,2,Chestplate,Belt,,,,,,,,,,,510,,,
3293,Tiger,2,Belt,Covered Helmet,,,,,,,,,,,8240,2.0,5399.0,101.0
3294,Lion,4,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,,2056,,,
3295,Frog,4,Camo Suit,Chestplate,Belt,Sword,,,,,,,,,4553,,,
3296,Arcane,3,Star Suit,Belt,Covered Helmet,,,,,,,,,,7866,1.0,4900.0,244.0
3297,Cat,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9487,1.0,6199.0,54.0
3298,Bear,4,Star Suit,Belt,X-Ray,Anchor,,,,,,,,,2235,,,
3299,Cat,4,Star Suit,Belt,Covered Helmet,VR,,,,,,,,,7523,,,
3300,Tiger,4,Camo Suit,Belt,Covered Helmet,X-Ray,,,,,,,,,5981,1.0,6669.0,99.0
3301,Bear,6,Star Suit,Belt,Covered Helmet,Eye Patch,Wool Boots,Arc,,,,,,,739,1.0,14999.0,67.0
3302,Frog,3,Camo Suit,Belt,Arc,,,,,,,,,,2818,,,
3303,Bear,5,Star Suit,Chestplate,Belt,Covered Helmet,Anchor,,,,,,,,3061,3.0,5500.0,193.0
3304,Frog,5,Chestplate,Belt,Umbrella,Wool Boots,Cardano,,,,,,,,1406,,,
3305,Lion,5,Star Suit,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,3211,,,
3306,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,3.0,2001.69,215.0
3307,Dog,4,Chestplate,Belt,Covered Helmet,Snorkel,,,,,,,,,7675,1.0,2000.0,260.0
3308,Robot,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9206,,,
3309,Ape,1,Belt,,,,,,,,,,,,2622,,,
3310,Ape,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9416,,,
3311,Tiger,4,Star Suit,Chestplate,Belt,Snorkel,,,,,,,,,6071,,,
3312,Frog,3,Chestplate,Belt,Watch,,,,,,,,,,6438,,,
3313,Bear,3,Chestplate,Belt,Backpack,,,,,,,,,,5947,1.0,4400.0,235.0
3314,Fish,4,Star Suit,Chestplate,Belt,Amulet,,,,,,,,,393,1.0,30100.0,9.0
3315,Alien,5,Chestplate,Amulet,Belt,Covered Helmet,Flowers,,,,,,,,3813,,,
3316,Cat,3,Star Suit,Chestplate,Belt,,,,,,,,,,9697,,,
3317,Bear,2,Chestplate,Belt,,,,,,,,,,,8152,,,
3318,Cat,5,Chestplate,Belt,Covered Helmet,VR,Blaster,,,,,,,,1916,,,
3319,Shark,4,Star Suit,Chestplate,Belt,Harpoon,,,,,,,,,842,,,
3320,Bear,3,Chestplate,Belt,Cardano,,,,,,,,,,5794,1.0,6666.0,234.0
3321,Parrot,2,Wool Boots,Binoculars,,,,,,,,,,,1187,,,
3322,Dog,5,Star Suit,Chestplate,Belt,Watch,Lamp Fish,,,,,,,,2037,,,
3323,Tiger,1,Belt,,,,,,,,,,,,2280,3.0,6500.0,108.0
3324,Arcane,3,Camo Suit,Belt,Snorkel,,,,,,,,,,5233,3.0,4275.0,234.0
3325,Alien,3,Belt,Sun Glasses,Arc,,,,,,,,,,2854,1.0,5995.0,212.0
3326,Bear,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8573,,,
3327,Ape,2,Belt,Covered Helmet,,,,,,,,,,,8788,,,
3328,Robot,5,Chestplate,Amulet,Belt,Covered Helmet,VR,,,,,,,,4774,1.0,4400.0,259.0
3329,Alien,4,Star Suit,Belt,Wool Boots,Flowers,,,,,,,,,4552,,,
3330,Elephant,3,Chestplate,Belt,Snorkel,,,,,,,,,,244,2.0,45000.0,128.0
3331,Ape,6,Special Background,Chestplate,Belt,Covered Helmet,X-Ray,Candle,,,,,,,680,1.0,11000.0,210.0
3332,Dog,6,Star Suit,Chestplate,Belt,Covered Helmet,Snorkel,Watch,,,,,,,2277,,,
3333,Dog,5,Star Suit,Chestplate,Amulet,Belt,Covered Helmet,,,,,,,,6664,2.0,5433.33,116.0
3334,Dog,3,Belt,Flag,Watch,,,,,,,,,,5535,,,
3335,Dog,3,Star Suit,Belt,VR,,,,,,,,,,7812,4.0,3850.0,138.0
3336,Rhino,3,Chestplate,Belt,Watch,,,,,,,,,,538,,,
3337,Lion,3,Chestplate,Belt,Revolver,,,,,,,,,,5145,2.0,9389.0,87.0
3338,Fish,3,Chestplate,Belt,Umbrella,,,,,,,,,,372,,,
3339,Ape,5,Chestplate,Belt,Covered Helmet,Ski Goggles,Arc,,,,,,,,2239,,,
3340,Shark,4,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,,1044,,,
3341,Robot,3,Chestplate,Belt,VR,,,,,,,,,,7884,1.0,3600.0,253.0
3342,Rhino,3,Chestplate,Amulet,Covered Helmet,,,,,,,,,,498,,,
3343,Ape,3,Chestplate,Belt,Sword,,,,,,,,,,7627,,,
3344,Robot,5,Star Suit,Chestplate,Belt,Covered Helmet,Jo-Jo,,,,,,,,3042,,,
3345,Lion,4,Chestplate,Belt,Covered Helmet,Binoculars,,,,,,,,,1875,,,
3346,Lion,1,Belt,,,,,,,,,,,,1692,,,
3347,Robot,3,Chestplate,Belt,Flag,,,,,,,,,,6532,,,
3348,Robot,2,Covered Helmet,Watch,,,,,,,,,,,7458,,,
3349,Alien,4,Special Background,Chestplate,Belt,Watch,,,,,,,,,7374,,,
3350,Alien,4,Special Background,Chestplate,Belt,Watch,,,,,,,,,7374,,,
3351,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,,,
3352,Ape,4,Belt,Covered Helmet,Wool Boots,Axe,,,,,,,,,4532,,,
3353,Robot,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9280,,,
3354,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,,,
3355,Ape,4,Star Suit,Chestplate,Belt,Bazooka,,,,,,,,,4547,2.0,16999.0,49.0
3356,Ape,2,Watch,Baguette,,,,,,,,,,,2071,,,
3357,Parrot,2,Chestplate,Belt,,,,,,,,,,,6492,1.0,6690.0,98.0
3358,Ape,3,Chestplate,Belt,Sword,,,,,,,,,,7627,1.0,4000.0,253.0
3359,Cat,1,Covered Helmet,,,,,,,,,,,,2658,1.0,5000.0,214.0
3360,Fish,3,Chestplate,Belt,Wool Boots,,,,,,,,,,422,1.0,25000.0,253.0
3361,Dog,5,Star Suit,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,2383,1.0,1500.0,260.0
3362,Frog,5,Camo Suit,Chestplate,Belt,Flag,Jo-Jo,,,,,,,,1052,1.0,10000.0,60.0
3363,Parrot,4,Chestplate,Belt,Jetpack,Covered Helmet,,,,,,,,,4506,,,
3364,Bear,3,Chestplate,Belt,Axe,,,,,,,,,,5092,,,
3365,Parrot,3,Chestplate,Belt,Backpack,,,,,,,,,,4815,,,
3366,Ape,3,Star Suit,Chestplate,Belt,,,,,,,,,,9593,1.0,4300.0,143.0
3367,Alien,3,Star Suit,Chestplate,Belt,,,,,,,,,,9556,,,
3368,Bear,3,Chestplate,VR,Wool Boots,,,,,,,,,,5555,,,
3369,Dog,2,Special Background,Covered Helmet,,,,,,,,,,,7474,1.0,4444.0,147.0
3370,Cat,2,Chestplate,Belt,,,,,,,,,,,9119,3.0,5099.0,209.0
3371,Alien,5,Camo Suit,Belt,Covered Helmet,Wool Boots,Pistol,,,,,,,,4001,,,
3372,Cat,6,Star Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,Hockey Stick,,,,,,,1182,,,
3373,Lion,4,Camo Suit,Chestplate,Belt,Umbrella,,,,,,,,,4248,1.0,6888.0,120.0
3374,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,,,
